"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03","238.25","235.75","246.00","228.50","799.25K","1.06%"
"Dec 02","235.75","240.25","243.50","231.25","316.91K","-1.87%"
"Nov 02","240.25","247.75","249.50","234.00","964.74K","-2.93%"
"Oct 02","247.50","251.75","261.75","243.25","1.02M","-1.59%"
"Sep 02","251.50","258.75","285.50","249.50","695.43K","-3.08%"
"Aug 02","259.50","247.75","277.00","244.00","561.56K","4.95%"
"Jul 02","247.25","225.00","250.00","212.50","358.10K","9.65%"
"Jun 02","225.50","212.00","230.00","204.00","832.42K","5.37%"
"May 02","214.00","193.50","216.75","191.50","514.32K","10.59%"
"Apr 02","193.50","202.50","205.00","192.25","736.66K","-4.44%"
"Mar 02","202.50","200.00","208.50","198.75","341.03K","1.00%"
"Feb 02","200.50","205.75","209.75","198.50","754.07K","-2.67%"
"Jan 02","206.00","199.75","216.25","199.25","380.43K","3.13%"
"Dec 01","199.75","208.50","213.00","199.25","46.80K","-4.20%"
"Nov 01","208.50","199.50","210.00","198.25","479.43K","3.86%"
"Oct 01","200.75","207.75","212.25","197.50","8.81K","-4.29%"
"Sep 01","209.75","219.00","219.40","209.25","42.82K","-4.22%"
"Aug 01","219.00","218.50","225.50","208.60","512.89K","0.11%"
"Jul 01","218.75","188.25","230.50","185.75","345.16K","15.89%"
"Jun 01","188.75","192.25","201.50","184.00","797.74K","-2.08%"
"May 01","192.75","199.00","204.00","187.75","417.62K","-3.26%"
"Apr 01","199.25","205.00","214.75","193.25","648.94K","-1.97%"
"Mar 01","203.25","214.00","219.00","202.50","534.18K","-5.24%"
"Feb 01","214.50","209.00","215.50","208.50","559.96K","2.63%"
"Jan 01","209.00","224.00","224.00","206.50","479.95K","-7.01%"
"Dec 00","224.75","208.25","225.00","204.25","64.21K","7.66%"
"Nov 00","208.75","201.50","213.50","201.00","422.60K","3.21%"
"Oct 00","202.25","193.50","206.75","193.25","10.84K","4.66%"
"Sep 00","193.25","182.75","194.75","179.00","75.13K","5.17%"
"Aug 00","183.75","180.25","185.00","174.00","462.49K","1.94%"
"Jul 00","180.25","189.50","189.50","174.00","241.36K","-3.87%"
"Jun 00","187.50","229.00","232.75","186.50","887.06K","-16.67%"
"May 00","225.00","227.75","249.50","222.50","638.63K","0.56%"
"Apr 00","223.75","236.00","239.50","222.50","651.76K","-5.19%"
"Mar 00","236.00","215.00","241.75","214.25","613.50K","9.77%"
"Feb 00","215.00","219.75","226.50","211.50","755.04K","-2.27%"
"Jan 00","220.00","204.50","228.25","200.50","980.80K","7.58%"
"Dec 99","204.50","187.50","206.75","180.00","220.47K","9.07%"
"Nov 99","187.50","200.00","203.75","187.00","819.97K","-6.02%"
"Oct 99","199.50","208.00","208.50","197.50","741.42K","-4.20%"
"Sep 99","208.25","204.50","215.75","197.00","366.88K","1.46%"
"Aug 99","205.25","205.00","233.25","201.25","486.46K","0.98%"
"Jul 99","203.25","212.75","216.00","177.00","215.51K","-3.79%"
"Jun 99","211.25","215.50","226.50","209.50","759.00K","-3.76%"
"May 99","219.50","214.00","224.50","211.50","294.44K","2.21%"
"Apr 99","214.75","226.00","226.50","213.00","569.49K","-4.77%"
"Mar 99","225.50","204.25","234.25","201.75","289.42K","10.27%"
"Feb 99","204.50","214.00","223.00","204.00","684.79K","-4.66%"
"Jan 99","214.50","214.00","224.50","211.00","635.17K","0.47%"
"Dec 98","213.50","218.50","221.75","207.50","249.29K","-2.40%"
"Nov 98","218.75","218.50","225.50","214.25","737.57K","-0.11%"
"Oct 98","219.00","208.50","231.00","204.50","952.73K","4.78%"
"Sep 98","209.00","185.75","214.00","185.00","285.36K","11.62%"
"Aug 98","187.25","216.50","216.50","187.00","344.93K","-13.91%"
"Jul 98","217.50","245.00","253.00","217.25","172.94K","-11.31%"
"Jun 98","245.25","237.50","260.50","230.75","696.88K","2.83%"
"May 98","238.50","243.50","254.25","235.25","270.01K","-2.15%"
"Apr 98","243.75","259.00","259.75","243.25","576.03K","-5.89%"
"Mar 98","259.00","261.50","274.50","258.50","321.53K","-0.96%"
"Feb 98","261.50","272.75","277.75","261.25","622.63K","-4.21%"
"Jan 98","273.00","263.50","283.50","257.00","804.45K","3.02%"
"Dec 97","265.00","271.00","275.00","252.00","278.93K","-2.39%"
"Nov 97","271.50","279.00","289.50","270.00","799.48K","-2.95%"
"Oct 97","279.75","257.25","295.00","255.50","1.14M","8.54%"
"Sep 97","257.75","265.50","274.00","249.00","323.06K","-3.01%"
"Aug 97","265.75","265.00","275.00","246.00","303.37K","0.09%"
"Jul 97","265.50","247.50","273.25","238.25","214.50K","7.06%"
"Jun 97","248.00","270.00","278.25","240.00","587.47K","-8.40%"
"May 97","270.75","295.25","300.25","264.00","320.09K","-8.22%"
"Apr 97","295.00","310.50","320.00","290.25","697.35K","-4.84%"
"Mar 97","310.00","296.00","314.00","295.25","338.62K","4.47%"
"Feb 97","296.75","269.50","297.75","268.00","555.71K","9.81%"
"Jan 97","270.25","257.75","277.25","256.00","687.35K","4.65%"
"Dec 96","258.25","269.50","276.75","257.75","272.28K","-4.62%"
"Nov 96","270.75","265.75","277.50","257.75","725.93K","1.79%"
"Oct 96","266.00","293.25","300.50","265.50","841.02K","-10.36%"
"Sep 96","296.75","368.00","372.00","294.00","350.89K","-19.91%"
"Aug 96","370.50","355.00","389.00","341.25","267.90K","4.59%"
"Jul 96","354.25","516.00","554.50","347.25","169.43K","-31.38%"
"Jun 96","516.25","477.25","518.50","429.25","502.52K","8.17%"
"May 96","477.25","466.00","536.00","460.50","279.93K","3.19%"
"Apr 96","462.50","409.00","509.00","408.00","753.16K","13.08%"
"Mar 96","409.00","395.50","410.50","381.00","354.68K","3.54%"
"Feb 96","395.00","367.50","395.50","358.50","716.06K","7.05%"
"Jan 96","369.00","371.00","375.25","347.50","1.13M","-0.07%"
"Dec 95","369.25","331.00","370.50","328.00","397.26K","11.64%"
"Nov 95","330.75","333.00","339.00","319.50","672.83K","-0.53%"
"Oct 95","332.50","311.25","334.00","306.50","931.87K","6.66%"
"Sep 95","311.75","295.75","314.25","285.50","321.04K","5.50%"
"Aug 95","295.50","283.00","296.00","268.25","320.55K","4.88%"
"Jul 95","281.75","273.50","300.00","272.00","168.94K","3.58%"
"Jun 95","272.00","268.00","285.00","260.00","485.73K","2.26%"
"May 95","266.00","250.00","271.25","248.00","206.40K","6.83%"
"Apr 95","249.00","250.00","254.00","242.00","358.77K","-0.40%"
"Mar 95","250.00","234.25","252.25","233.00","188.76K","6.72%"
"Feb 95","234.25","229.50","236.50","229.25","391.88K","2.07%"
"Jan 95","229.50","231.00","236.75","227.75","462.66K","-0.65%"
"Dec 94","231.00","213.25","235.00","213.25","243.85K","8.45%"
"Nov 94","213.00","215.75","222.00","210.50","506.20K","-1.27%"
"Oct 94","215.75","215.00","220.00","213.25","456.94K","0.00%"
"Sep 94","215.75","222.00","227.50","210.00","158.01K","-2.27%"
"Aug 94","220.75","217.50","224.00","214.00","192.63K","0.91%"
"Jul 94","218.75","247.00","248.25","214.75","135.82K","-12.24%"
"Jun 94","249.25","275.00","285.75","245.00","446.72K","-10.58%"
"May 94","278.75","269.50","278.75","255.25","226.54K","3.62%"
"Apr 94","269.00","277.00","278.75","255.00","409.05K","-2.09%"
"Mar 94","274.75","285.00","287.00","272.50","182.84K","-3.77%"
"Feb 94","285.50","291.00","299.00","283.00","392.12K","-1.64%"
"Jan 94","290.25","304.75","311.75","287.50","653.44K","-5.15%"
"Dec 93","306.00","278.75","306.75","277.50","192.32K","9.48%"
"Nov 93","279.50","259.00","288.00","258.00","701.81K","8.44%"
"Oct 93","257.75","243.75","258.25","236.25","667.76K","5.31%"
"Sep 93","244.75","229.75","250.50","225.25","324.04K","6.53%"
"Aug 93","229.75","237.00","243.50","228.00","287.00K","-2.55%"
"Jul 93","235.75","223.50","248.50","223.00","159.72K","5.84%"
"Jun 93","222.75","223.75","224.75","211.50","458.61K","-0.78%"
"May 93","224.50","229.50","230.00","220.75","161.11K","-1.54%"
"Apr 93","228.00","230.50","233.50","222.50","309.11K","-0.98%"
"Mar 93","230.25","211.25","231.00","210.50","199.19K","8.99%"
"Feb 93","211.25","214.00","214.50","210.00","329.11K","-1.52%"
"Jan 93","214.50","216.00","222.00","214.00","330.95K","-0.92%"
"Dec 92","216.50","212.00","220.25","208.00","201.98K","1.88%"
"Nov 92","212.50","208.00","218.00","204.50","540.78K","2.53%"
"Oct 92","207.25","214.50","214.50","204.75","469.08K","-3.72%"
"Sep 92","215.25","220.00","230.50","212.75","214.81K","-1.60%"
"Aug 92","218.75","219.75","227.25","211.50","222.05K","-0.68%"
"Jul 92","220.25","248.00","254.00","219.75","109.11K","-11.28%"
"Jun 92","248.25","265.00","266.50","246.00","378.00K","-4.34%"
"May 92","259.50","243.75","264.00","243.50","190.53K","6.35%"
"Apr 92","244.00","265.00","265.00","243.75","341.78K","-7.66%"
"Mar 92","264.25","265.00","274.00","261.50","210.67K","-0.19%"
"Feb 92","264.75","263.00","271.25","259.75","432.34K","0.19%"
"Jan 92","264.25","251.25","265.00","248.00","504.60K","5.07%"
"Dec 91","251.50","238.75","255.50","236.25","172.27K","5.34%"
